,tdata.id,tdata.member_id,tdata.funded_amnt_inv,tdata.int_rate,tdata.fico_range_high,tdata.fico_range_low,tdata.total_pymnt,tdata.total_rec_late_fee,pred,tdata.grade,tdata.emp_name,tdata.title,tdata.addr_city,tdata.pub_rec_bankruptcies,tdata.next_pymnt_d,tdata.Churn,m1.yhat (Probability of defaulting)
23390,1016154,1243851,19900,0.203,684,680,4795.15,0,533.23,E,SES,Need a better rate than my credit card,Gilbert,0,null,1,0.852490692
23127,1008845,1235560,19975,0.1465,729,725,2744,0,472.14,C,Providence Home Care,Debt Consolidation Loan,Culver City,0,null,1,0.85182244
10970,622608,797935,15950,0.1372,729,725,1196.25,0,400.04,C,"D & Audio, LLC",Personal Loan,REISTERSTOWN,0,null,1,0.851470649
12668,661521,846006,24950,0.1862,689,685,7074.31,0,657.4,F,"Scottrade, Inc.",DebtFreeSoon,Miami,0,null,1,0.851225146
23186,1010191,1223825,12400,0.2206,664,660,2124.05,0,342.9,F,carmelo policaro construction,Debt Consolidation Loan,HAZLET,0,null,1,0.851014963
9869,599394,769324,12450,0.1682,679,675,1863.24,0,311.93,E,imtt bayonne,payoff,brick,1,null,1,0.849925157
27367,620749,795577,18956.78,0.1557,679,675,3976.14,0,663.96,D,3M Corp,Pay Off Credit,Gaithersburg,0,11/6/2011,1,0.848269039
2785,434155,517745,19325,0.1253,774,770,1547.83,0,669.33,B,Global Vision International,My WEDDING!!!!,Palmdale,0,null,1,0.847990147
20939,881765,1096841,12850,0.2274,669,665,5692.74,0,361.74,G,Sleepys,Debt Consolidation,Woodbridge ,0,null,1,0.847805194
27018,529238,684425,4800,0.2127,669,665,2480.64,0,130.59,G,upper township school district,personal loan,ocean city,0,3/24/2012,1,0.84775992
24079,1035167,1264803,12600,0.203,669,665,2009.82,0,335.93,E,Texas A&M university,home improvement,COLLEGE STATION,0,null,1,0.846652746
21457,894072,1111239,11725,0.2089,684,680,1970.23,0,316.48,F,apple,Debt Consolidation,Scottsdale ,0,null,1,0.844583411
14532,714769,908227,10000,0.1788,664,660,1009.92,0,253.29,E,San Bernardino County,Peace of Mind Consolidation,RIVERSIDE,0,null,1,0.844164904
20235,864071,1077226,17975,0.1599,704,700,3474.45,0,473.05,D,Booz Allen Hamilton,Consolidation Loan,Willow Spring,0,null,1,0.843866063
21504,910917,1131468,10800,0.1677,664,660,765.7,0,383.82,D,Animal Doctor of Weston,Progress,SHERMAN,0,null,1,0.843027422
19571,847272,1058741,16550,0.1689,694,690,2914.21,0,416.54,D,RICHMOND POLICE DEPARTMENT,CREDIT CARD CONSOLIDATION,MIDLOTHIAN,0,null,1,0.842425112
15037,728052,923646,11975,0.1565,684,680,1106.21,0,289.59,D,J.M. Smucker Company,Other,New Philadelphia,1,null,1,0.841743866
23701,1025100,1254234,8575,0.1942,674,670,631.94,0,316.15,E,kilby electric,credit free,miami,0,null,1,0.84058273
7650,544837,702770,8000,0.209,674,670,3886.97,0,215.98,G,Florida Virtual School,Amy's Relief,Melbourne,0,null,1,0.840520734
27421,462167,575156,9825,0.1461,674,670,0,0,0,D,Merchants Leasing,Established Residency and Employment,Parkland,0,5/4/2010,1,0.840483315
20901,880407,1095436,15600,0.1727,669,665,2787.75,0,558.29,D,Detroit Medical Center,Car Loan,Bloomfield Hills,0,null,1,0.839669208
25300,1062471,1294536,20000,0.2089,669,665,5425.96,0,591.09,F,Independent Imaging,Loan to pay off Credit cards,LOXAHATCHEE,0,null,1,0.838750926
6913,526995,681695,9450,0.1682,679,675,897.92,0,237.66,E,hollywood transport,Help me help get out of debt,brandywine,0,null,1,0.838403311
26896,498400,638849,15250,0.1533,699,695,2653.9,0,531.14,D,TRRWA,Bills,Kelso,0,2/8/2011,1,0.838244637
22611,994715,1219368,18825,0.1242,764,760,1266.51,0,422.76,B,St. Thomas,Personal Loan - Improvement,AURORA,0,null,1,0.837606239
19578,847448,1058937,20950,0.1399,729,725,3407.11,0,487.95,C,LifeStar Response of NJ,Pay off Credit Cards,Kenilworth,0,null,1,0.836576384
6470,517878,669329,14350,0.1645,699,695,2654.74,0,183.36,E,Dr. Farbenbloom,Credit Card  Refinancing,Sherman Oaks,1,null,1,0.836570651
23668,1024037,1241997,24550,0.2089,684,680,7252.13,0,663.32,F,"Leake and Watts Services, Inc.",Pay off loan,New Rochelle,0,null,1,0.834366019
6578,519960,672160,15977.94494,0.1682,679,675,3563.59,0,396.1,E,Vons Company,Debt Consolidation,San Dimas,0,null,1,0.833174545
12639,660949,845314,14758.75,0.1417,734,730,1049.07,0,350.35,C,rassette capital,J & J,canutillo,0,null,1,0.832962021
4815,482894,614364,14511.48,0.1273,724,720,1162.79,0,503.5,C,Law Offices of Marshall Watson,To become a partner for a NightClub Thanks,FORT LAUDERDALE,0,null,1,0.83175948
14855,723427,918364,9000,0.164,674,670,880.76,0,220.78,E,DOD,Debt Consolidation Loan Stew,Fredericksburg,0,null,1,0.829088562
12909,667320,853134,10000,0.1714,684,680,1426,0,357.23,E,MILLERS EXPRESS,NEEDED MY NAME,WALPOLE,0,null,1,0.828076657
25013,1057031,1288585,18800,0.2128,689,685,5085.23,0,511.57,F,El Diario La Prensa ,Debt Consolidation Loan,NEW YORK,0,null,1,0.828039109
18960,831404,1040624,22975,0.1199,784,780,3062.22,0,511.51,B,Osteoporosis Center of San Jose,Debt consolidation,San Jose,0,null,1,0.827773158
22699,997204,1222081,14000,0.1864,679,675,2907.47,0,360.41,E,union bank,loan 1,GLENDALE,0,null,1,0.827040772
22304,985508,1102008,4400,0.2274,669,665,2710.84,0,123.39,G,Rainbow porceiln refinishing,The Life Changer,cleveland,0,9/24/2013,0,0.82670319
25638,886664,1102665,10375,0.1758,729,725,466.98,0,0,D,C3 BUSINESS SOLUTIONS INC.,opening new busines,LOS ANGELES,1,null,1,0.825600357
26142,308503,308500,7000.002439,0.1576,679,675,559.08,0,280.31,F,edys icecream,personal loan,patchogue,0,1/5/2009,1,0.824846823
25628,971449,1193186,7100,0.1903,709,705,0,0,0,E,Military,Debt Consolidation Loan,Killeen,0,null,1,0.824733517
21020,883605,1098929,17975,0.1065,749,745,1161.06,0,388.23,B,Baystate Medical Center,Moving/Travel,East Longmeadow,0,null,1,0.82370637
9814,597972,767526,13000,0.1682,699,695,2574.56,0,321.83,E,galls,401k/creditcard,paris,0,null,1,0.822509928
20002,858414,1070992,12000,0.1649,689,685,1470.2,0,294.96,D,BodySmith,Credit Card Loan,Baltimore,1,null,1,0.822174217
10213,605644,776957,17725,0.1817,684,680,4725.13,0,453.02,F,aspen square management,Student loans and car payment,TUCKER,0,null,1,0.822123366
23319,1014352,1241935,21975,0.1349,729,725,4062.48,0,508.98,C,WVU Foundation,ReFi,Fairmont,0,null,1,0.82199564
27111,557648,717965,8450,0.1719,679,675,797.93,0,212.12,E,Crown Automobile,Busienei,Hoover,0,3/16/2011,1,0.821660568
18941,831100,1040301,13700,0.2174,669,665,3404.94,0,568.66,F,CHENEY BROTHERS,Debt Consolidation Loan,WEST PALM BEACH,0,null,1,0.821490661
27200,582125,748159,2100,0.2053,669,665,1899.24,0,56.26,G,Progressive Insurance,Real Estate Taxes,Brunswick,0,10/3/2013,1,0.820411882
4946,486069,619375,12000,0.1459,694,690,1652.44,0,413.58,D,US Army,"Trustworthy, solid opportunity",New Kent,0,null,1,0.819758633
11354,631310,808754,19975,0.1632,694,690,5377.57,0,489.77,E,Westfield Insurance,Consolidation Loan,Glen Mills,1,null,1,0.819101021
6544,519197,671223,10251.18723,0.1756,669,665,1556.12,0,259.73,E,FedEx Office,Bill Loan,HARPER WOODS,0,null,1,0.819042315
20470,869561,1083524,14300,0.2062,674,670,3446.34,0,383.82,F,niederst management company,personal loan,lakewood,0,null,1,0.818956688
26879,496184,635721,12000,0.1682,694,690,2079.14,0,161.25,E,All Systems Group,Nursing Education Loan,Eustis,1,5/1/2011,1,0.818909376
22686,996748,1221810,17500,0.2089,669,665,4722.54,0,472.36,F,City Of Somerville,Debt Consolidation Loan,MEDFORD,0,null,1,0.818778919
16008,753730,953404,15250,0.1879,704,700,3550.16,0,394.48,E,Lending Resource,DebtConsolidation,White Plains,0,null,1,0.818484383
22818,1000396,1226025,15000,0.1991,669,665,3471.87,0,396.66,E,st josephs hospital,credit,syracuse,0,null,1,0.817865969
20629,873947,1088335,17700,0.1059,764,760,1160.94,0,387.7,B,"Kern High School District, Vista West",Debt Consolidation Loan,Bakersfield,0,null,1,0.817739771
19766,852703,1064814,4800,0.2211,704,700,3050.03,0,132.88,G,Sam's CLub,Buying into an existing business,Statesville,0,9/29/2013,0,0.815972275
24562,1045978,1276606,19075,0.1758,694,690,4381.47,0,480.04,D,chopard USA Ltd,debt consolidation loan,jackson heigths,0,null,1,0.815676694
14968,725939,921260,10000,0.1879,689,685,1544.28,0,258.26,E,Los Angeles Police Department,Paying off 2 credit cards,Tujunga,0,null,1,0.814130202
3773,458871,571550,11725,0.1496,679,675,1658.56,0,415.76,D,AAR Aircraft Services Miami,Debt consolidation loan,Miami,0,null,1,0.813505078
25611,478160,607002,7700,0.1704,694,690,409.57,0,0,E,Abercrombie & Fitch,The Beginning of the Rest of My Life,Driftwood,0,null,1,0.813377166
16960,778955,981610,7975,0.1839,674,670,761.97,0,204.85,E,DeAngelo Brothers,medical,Green Cove Springs,1,null,1,0.81289327
4408,474397,600061,11875,0.1287,699,695,403.34,0,403.6,C,UW Medical Foundation,Ready to get out of debt.,Verona,0,null,1,0.812876215
16356,763665,964307,9000,0.1969,679,675,1176.9,0,236.9,E,Madison Company,Debt consolidation,Madison,1,null,1,0.812727789
6093,509004,656873,20325,0.1904,674,670,5322.06,0,25.1,F,Mitsui Foods,Life saver,NORTH BERGEN,0,null,1,0.812633267
23328,1014586,1241972,14375,0.1864,704,700,3335.87,0,370.7,E,Simonton Windows,Debt Consolidation,West Sacramento,0,null,1,0.810382513
18436,816354,1024081,20875,0.1689,739,735,5180.52,0,518.19,D,Muckleshoot Indian Casino,Debt Consolidation,Auburn,0,null,1,0.809755796
16452,765813,966756,12250,0.1649,689,685,1802.16,0,301.1,D,swannee corectional institution,consolidation depth,Mayo,0,null,1,0.808035475
8545,565938,728063,18625,0.1645,704,700,5037.22,0,458.01,E,accord eng,Reeve,fallbrook,0,null,1,0.807496281
26412,375969,398687,2975.004059,0.2011,669,665,2490.64,0,100.57,G,Sea World of Florida,debt consolidation,Orlando,1,6/10/2010,1,0.807051511
6719,522676,676085,4169.336992,0.209,664,660,2947.71,0,113.39,G,Tequesta Trace Middle School,Medical Bills,Lauderhill,0,null,1,0.80667734
17277,787262,990783,16950,0.1349,764,760,2341.38,0,391.08,C,University of West Florida,Selling House Moving Loan,Spanish Fort,0,null,1,0.8066167
21113,885522,1101214,24975,0.1465,729,725,5511.08,0,590.17,C,Ardsley Schools,Pay the Bills,Peekskill,0,null,1,0.806362077
9161,581357,747253,11275,0.1756,674,670,2217.38,0,316.95,E,Sapient Corp,401K,JERSEY CITY,0,null,1,0.805593292
26827,487670,621749,11450,0.1459,699,695,1670.74,0,396.35,D,Self,business loan,ROMEOVILLE,0,11/6/2010,1,0.805087631
18901,829918,1039051,4800,0.2285,704,700,3229.92,0,134.91,G,KForce,Acura,Woodbridge,0,9/12/2013,0,0.805014636
13912,696897,888108,12350,0.1491,689,685,1878.51,0,293.82,D,Missouri Division of Youth Services,No More Credit Cards!!!,Springfield,0,null,1,0.80499018
9498,590232,758192,7975,0.1484,674,670,275.89,0,276.7,D,Shelly BMW,Credit Card Refinance,Hesperia,0,null,1,0.804089172
6282,513631,663686,9950,0.1533,709,705,955.08,0,239.64,D,Electro Rent Corporation ,A and A Dad ,Van Nuys ,1,null,1,0.803920284
27211,584789,751425,2000,0.2016,669,665,2135.84,0,53.17,G,Dishnetwork,Personal Loan,LITHONIA,0,9/7/2013,1,0.803427351
14092,704047,896055,18000,0.164,739,735,4856.23,0,441.56,E,EverTran Solutions,Debt Consolidation Loan,Puxico,0,null,1,0.803294177
25630,392751,429885,11625,0.1379,719,715,0,0,0,C,ARES Corporation,Senior Elec. Engineer Updating House,Deer Park,0,null,1,0.802327568
23393,1016245,1243947,19825,0.2128,669,665,5938.71,0,544.23,F,Parsippany-Troy Hills Board of Education,Debt Consolidation,Denville,0,null,1,0.801335851
26130,302994,302984,10149.9957,0.1671,644,640,2223.66,0,371.96,F,Worklife Financial and PF Changs China Bistro,Pay off my Debt,Fenton,0,11/3/2009,1,0.800005762
3488,451775,556916,14975,0.1496,709,705,3196.57,0,519.68,D,Group 1 Automotive,**Pay off 3 to 10 yr old CC debt in 3yrs for the same pymt-I NEVER PAY LATE**,Spring,0,null,1,0.799181446
26912,501230,644141,14628.44,0.1459,714,710,3097.98,0,516.98,D,Van-Dee Manufacturing Co.,High Profile new business loan,Batavia,1,3/19/2011,1,0.7971677
2339,417986,487603,1600,0.1916,664,660,2114.34,0,64.19,G,BET,Production Pinch,Falls Church,0,null,0,0.796261597
